Gene,System.Urogenital/Reproductive System.Kidney.RENAL CORTEX,System.Digestive System.Intestine.INTESTINAL EPITHELIAL CELL,System.Cardiovascular System.Heart.VENTRICLE,System.Urogenital/Reproductive System.Ovary.OOCYTE,System.Cardiovascular System.Heart.ATRIUM,System.Urogenital/Reproductive System.Ovary.GRANULOSA,System.Digestive System.Intestine.SMALL INTESTINE,System.Digestive System.Liver.HEPATOCYTE,System.Immune System.Myeloid.KUPFFER CELL,System.Respiratory System.Trachea.TRACHEA,System.Digestive System.Liver.LIVER,System.Digestive System.Stomach.GASTRIC EPITHELIAL CELL,System.Integumentary System.Skin.KERATINOCYTE,System.Integumentary System.Skin.BASAL CELL,System.Muscular System.Smooth muscle.VASCULAR SMOOTH MUSCLE,System.Urogenital/Reproductive System.Kidney.KIDNEY,System.Digestive System.Intestine.COLON,System.Urogenital/Reproductive System.Testis.TESTIS,System.Connective Tissue.Adipose tissue.ADIPOSE,System.Cardiovascular System.Heart.HEART,System.Cardiovascular System.Heart.VALVE,System.Urogenital/Reproductive System.Ovary.OVARY,System.Nervous System.CNS.MEDULLA,System.Urogenital/Reproductive System.Kidney.PODOCYTE,System.Nervous System.CNS.THALAMUS,System.Nervous System.Eye.RETINA,System.Urogenital/Reproductive System.Breast.MAMMARY GLAND,System.Digestive System.Intestine.COLON MUCOSA,System.Nervous System.CNS.HYPOTHALAMUS,System.Digestive System.Pancreas.BETA CELL,System.Muscular System.Skeletal muscle.SKELETAL MUSCLE,System.Nervous System.CNS.ASTROCYTE,System.Nervous System.CNS.CEREBRAL CORTEX,System.Urogenital/Reproductive System.Breast.BREAST,System.Respiratory System.Lung.LUNG EPITHELIAL CELL,System.Digestive System.Esophagus.ESOPHAGUS,System.Nervous System.PNS.SENSORY NEURON,System.Connective Tissue.Adipose tissue.ADIPOCYTE,System.Integumentary System.Skin.SKIN,System.Muscular System.Smooth muscle.AIRWAY SMOOTH MUSCLE,System.Connective Tissue.Bone marrow.CHONDROCYTE,System.Digestive System.Liver.HEPATIC STELLATE CELL,System.Integumentary System.Skin.MELANOCYTE,System.Muscular System.Smooth muscle.MYOFIBROBLAST,System.Connective Tissue.Bone.OSTEOBLAST,System.Nervous System.CNS.PONS,System.Connective Tissue.Bone marrow.BONE MARROW,System.Respiratory System.Lung.LUNG,System.Immune System.Myeloid.MICROGLIA,System.Digestive System.Pancreas.ALPHA CELL,System.Digestive System.Pancreas.PANCREATIC ISLET,System.Immune System.Granulocytic.GRANULOCYTE,System.Immune System.Granulocytic.NEUTROPHIL,System.Immune System.Lymphoid.BLYMPHOCYTE,System.Immune System.Lymphoid.PLASMA CELL,System.Immune System.Lymphoid.PLASMACYTOID DENDRITIC CELL,System.Immune System.Lymphoid.TLYMPHOCYTE,System.Immune System.Myeloid.DENDRITIC CELL,System.Immune System.Myeloid.MACROPHAGE,System.Immune System.Spleen.SPLEEN,System.Nervous System.PNS.MOTOR NEURON,System.Immune System.Thymus.THYMOCYTE,System.Immune System.Thymus.THYMUS,System.Integumentary System.Skin.FIBROBLAST,System.Integumentary System.Skin.HAIR FOLLICLE,System.Muscular System.Skeletal muscle.MYOBLAST,System.Nervous System.CNS.CEREBELLUM,System.Connective Tissue.Bone.STROMAL CELL,System.Nervous System.CNS.NEURON,System.Nervous System.CNS.OLIGODENDROCYTE,System.Nervous System.CNS.SPINAL CORD,System.Nervous System.CNS.MIDBRAIN
FHL2,7.91617,11.2385,13.7839,7.85883,11.5298,10.9985,9.01852,7.43403,9.46016,10.2165,7.66804,10.1192,9.7887,9.81703,10.8873,7.70672,9.714,8.2662,9.24767,11.1775,10.3266,9.38642,8.34611,12.0395,4.59911,7.02366,8.61371,9.88951,4.89983,5.58184,9.55427,8.50395,5.90632,8.69932,9.02752,9.86149,8.22586,9.73525,9.60083,11.2934,10.2641,11.6455,8.93289,11.2021,11.6718,6.64674,8.53362,8.96857,6.60267,5.31558,7.95029,6.57163,5.96743,5.57065,7.36331,4.21911,6.33362,5.3649,5.38652,5.63312,7.09227,7.26685,6.89949,10.8855,9.63715,10.9008,5.25971,11.8353,6.54968,6.41035,4.67269,6.63236
GDF5,1.20968,1.81287,1.20968,0.113644,1.81287,1.81287,1.20968,1.20968,3.63123,2.61696,0.113644,0.661663,1.81287,1.81287,3.64478,1.20968,1.20968,1.20968,3.28517,1.81287,3.56825,1.20968,1.20968,7.24729,1.20968,1.20968,1.20968,1.20968,1.20968,0.113644,0.113644,2.41968,1.81287,1.20968,0.113644,1.20968,1.81287,5.70924,1.81287,7.47443,8.38633,5.88569,1.81287,8.36805,7.33572,0.113644,0.113644,1.81287,1.20968,0.113644,0.113644,1.81287,1.20968,0.113644,0.113644,1.20968,1.20968,1.20968,0.113644,1.20968,1.20968,1.20968,1.20968,4.77752,2.2912,2.77595,0.113644,5.31558,1.81287,1.20968,1.20968,1.20968
HSD17B14,7.06926,1.20968,4.00388,2.92457,3.70719,3.76961,6.07935,6.89949,5.85462,4.47438,5.81111,3.42671,4.3519,3.64478,5.67402,4.84279,4.00388,1.81287,3.83218,4.26947,6.23113,4.72917,5.11807,4.51527,7.89585,5.84343,2.41968,4.77799,7.97639,5.48396,1.81287,5.72615,4.47319,2.61696,6.44391,2.77595,4.11061,4.71212,4.05534,6.66685,5.81111,6.07935,7.50914,5.51459,5.40837,2.16272,0.113644,5.04875,7.36331,5.81111,1.20968,0.113644,2.41968,4.57973,0.113644,2.41968,3.89584,5.57065,7.7649,1.81287,2.92457,0.113644,1.20968,5.23546,4.82627,1.81287,5.10633,3.86401,4.67269,5.02256,6.62962,4.26947
IGF1,5.13166,4.72917,8.07307,3.48123,8.67357,4.11061,5.40837,7.63309,7.77188,3.39116,9.30467,0.963256,2.77595,3.83218,5.40837,3.70787,4.43111,7.52411,11.4387,8.91296,9.01129,6.73628,5.28658,2.77595,4.16691,6.53429,3.39116,4.33251,4.16691,3.60651,8.2346,4.00388,4.32065,3.48123,2.77595,5.23546,2.92457,7.9722,5.61397,8.30332,5.67964,3.48123,3.22943,3.28517,4.72917,4.31312,5.51459,4.43111,7.5928,6.09783,6.2249,4.87131,3.89584,5.93591,10.5875,3.80089,3.76961,4.26947,5.12981,4.31312,4.93037,5.51459,4.51527,4.21911,5.67006,4.05534,4.87314,5.15699,4.00388,3.70787,4.36936,3.1737
IGF2,8.19528,0.113644,10.4349,6.75783,9.6381,7.61504,7.10033,11.0337,9.33442,5.93591,12.0834,3.5905,4.43111,5.93591,9.97571,5.8662,5.99799,8.4344,10.908,10.2287,10.3458,9.90846,4.96226,4.31312,10.296,4.21911,3.56825,7.10509,10.296,11.6853,11.1864,5.31558,3.61154,4.21911,6.68966,9.23137,4.38682,8.63133,6.42264,11.9508,9.88535,10.5148,2.16272,7.58823,7.93659,2.61696,0.113644,5.51459,5.65482,6.74061,7.44713,1.20968,1.20968,1.20968,0.113644,2.16272,0.113644,1.81287,2.41968,1.20968,7.20421,1.20968,2.92457,6.67736,6.91742,13.1081,4.89983,8.80332,5.31558,3.76961,10.8213,3.9543
IGSF3,10.0555,8.51724,8.62495,7.88005,7.53202,7.8274,7.50607,8.62905,6.00247,9.25769,5.07842,8.55441,11.0317,10.2739,4.99416,8.88023,8.66342,7.45283,3.89584,7.38198,9.05332,7.91819,9.33032,9.85085,8.11086,8.84482,10.354,8.78685,8.57799,6.46263,5.98306,9.09834,11.797,9.65802,9.85859,8.70389,10.7028,3.9543,8.85952,3.05618,7.60357,3.76961,11.3087,4.9151,5.18213,4.11061,0.113644,8.21748,6.34193,0.113644,0.113644,1.81287,2.41968,4.84145,0.113644,2.16272,5.47412,6.05008,4.96278,2.41968,9.19016,1.20968,2.99037,4.05534,7.72529,4.84279,5.47412,3.48123,10.3098,10.4343,7.71551,9.527
IL6,1.20968,0.113644,3.9543,0.113644,3.56825,0.113644,1.20968,1.20968,5.6234,4.51527,1.20968,3.77366,3.1737,3.05618,8.55124,0.113644,1.20968,0.113644,2.16272,5.23546,5.99052,1.81287,2.69645,9.91484,1.20968,1.20968,1.20968,1.20968,1.20968,0.113644,1.20968,1.81287,0.113644,2.16272,1.20968,4.47438,0.113644,6.70196,3.05618,6.62962,3.80089,7.47443,3.92507,7.77393,6.8949,1.20968,0.113644,4.11061,0.113644,0.113644,0.113644,0.113644,2.61696,0.113644,0.113644,2.41968,0.113644,5.91845,5.45333,1.20968,0.113644,0.113644,0.113644,5.66442,1.6862,1.81287,0.113644,6.8949,0.113644,0.113644,1.20968,0.113644
ILRUN,10.6647,10.346,11.3124,10.1068,11.0131,10.1344,10.6198,11.3292,11.3049,10.2791,10.9651,10.7547,11.1786,10.624,10.3698,10.2307,10.3423,10.0468,10.0817,9.99244,10.4801,10.3022,10.3169,10.3212,9.72339,10.4478,10.6052,10.3702,9.5765,10.2577,11.9785,9.69056,9.08088,10.4544,9.57301,10.1399,10.1375,10.5729,10.5095,10.6791,9.96159,10.6394,10.8999,10.2812,10.2985,10.3905,8.92642,10.1171,9.42566,8.8243,8.77715,9.90781,10.5967,10.4276,9.07601,9.51878,10.7519,10.5612,10.8433,9.80965,9.50579,9.00084,9.77975,10.2509,9.83762,9.66727,10.732,10.0333,9.34648,9.27156,9.91975,9.15885
MTHFR,10.5645,9.63025,9.75875,8.42438,10.8973,8.93123,9.22507,8.84482,8.88485,8.48608,8.6904,8.50324,8.12929,8.307,8.40872,8.55271,8.85952,8.47608,9.2281,8.66986,9.05213,8.97847,9.03328,7.62734,8.37948,8.75978,8.13855,8.84729,8.56752,8.65503,9.34152,8.38486,8.62942,7.98143,7.3144,8.09873,9.83619,8.52925,8.8032,9.70517,8.54521,8.49652,9.33238,8.72118,8.10836,9.15057,9.1086,8.45606,8.87813,8.75087,8.69555,8.93634,9.44814,9.28219,9.04138,9.14309,9.0884,9.65317,9.53006,8.88232,8.65847,8.89501,9.06829,8.29646,8.48665,8.43178,8.9635,7.91821,8.94647,8.57341,9.00409,9.03975
NRXN3A,4.88658,4.77752,4.56034,7.69953,6.51632,7.59973,7.46884,3.64478,5.8806,4.84279,3.56825,5.00219,3.76961,5.89404,6.58321,6.45202,4.38682,6.68966,5.83491,6.06605,6.68963,5.74938,6.04045,6.67736,8.54663,8.8334,3.39116,5.81111,8.54663,6.64699,3.64478,7.67462,8.86777,3.70787,5.10633,4.47438,9.05898,5.63312,4.31312,4.80976,3.39116,6.9462,3.86401,7.36733,6.61407,4.05534,4.96278,5.40837,7.17515,6.73209,6.36501,4.77752,3.70787,4.4306,5.28658,2.77595,3.39116,3.1737,3.56825,3.64478,9.09748,4.26947,3.89584,5.28658,6.5036,4.51527,13.3599,5.8662,8.50053,7.31657,10.6625,8.62227
NUP210,9.49498,5.49322,5.93591,8.65633,6.51261,8.84128,9.60441,8.80701,5.94028,4.43111,9.00801,7.37465,3.05618,6.82306,2.77595,9.98437,9.83619,8.83874,3.76961,5.12981,5.07842,9.61447,8.49391,10.3487,7.78955,8.48846,10.5067,9.12548,7.82916,9.41168,7.43403,8.34797,8.90111,9.73525,10.0778,9.51443,8.10586,3.05618,6.37631,2.61696,3.73874,2.61696,4.93037,2.85026,3.1737,9.59657,9.19687,9.31882,7.90252,8.78132,7.19727,8.47389,10.2509,12.385,9.83619,12.3633,12.1014,9.80126,8.55418,11.2838,8.29312,11.5476,11.6964,3.39116,4.31068,2.41968,8.83547,2.77595,8.60987,9.15057,8.58812,8.61401
PIEZO1,10.8788,7.73583,8.70737,8.75087,8.961,9.41392,10.2269,11.0609,11.6048,10.2128,9.88286,11.714,11.6239,10.5281,11.7585,10.3747,10.5886,7.9143,9.58379,8.81277,10.9689,9.73205,10.3053,11.2922,9.0288,7.93885,11.7363,9.4937,8.69555,4.89983,8.21284,10.6835,5.98435,11.2318,9.69166,10.3938,5.47412,11.3556,10.9402,11.397,11.4838,12.0204,11.401,11.5687,12.0763,10.6119,9.3095,10.6352,8.62112,3.48123,0.113644,9.08089,10.1245,10.7599,8.81003,10.1816,11.2984,10.9505,10.2624,10.3747,5.8662,9.11166,10.1959,11.0034,11.1104,10.4259,8.10195,10.936,6.03426,7.56734,10.4003,4.57973
PPARG,7.46627,10.2799,7.4407,7.06978,7.73911,8.6904,6.89949,7.37048,5.77008,6.9657,7.57981,7.04891,5.25971,6.52299,4.93037,7.36331,8.00587,6.4672,9.69695,7.08465,6.97311,6.81028,7.35435,6.20187,3.39116,4.00388,6.78683,7.24219,2.92457,3.39116,6.03426,4.38682,3.33816,6.93534,8.49852,7.4111,2.61696,10.0093,6.06605,7.51938,5.28658,6.9462,5.92703,6.57908,5.94379,4.11061,4.84279,7.80811,6.8453,3.56825,4.3519,4.29129,4.56034,3.64478,4.11061,2.77595,3.89584,7.63847,7.94538,4.51527,4.56034,5.8662,3.28517,6.56004,5.08928,5.10633,4.74622,5.6831,3.05618,2.41968,4.63537,2.61696
SLC39A8,7.78223,7.44998,5.83491,5.47412,9.05074,6.99259,6.16133,9.03811,8.36279,7.84657,9.03811,5.61271,7.64512,7.61479,8.68093,8.34797,8.72108,6.14657,6.59685,6.41035,6.54968,7.02032,7.5055,9.02043,5.82639,7.69006,8.98079,8.92076,5.57065,7.00978,5.10633,6.35023,4.80976,8.33012,8.28507,7.01742,4.96278,8.115,7.43403,7.85883,6.86702,6.80572,7.39703,7.99474,6.93745,7.89585,9.07164,8.43178,5.92718,6.45202,6.66685,6.71965,7.79648,9.25266,9.99411,7.80508,9.70764,9.5376,10.4813,9.04527,6.33362,8.39281,8.08174,6.61965,6.83451,6.41035,7.10033,6.86686,5.07842,4.84279,8.12214,6.46472
SOD2,14.3981,13.2577,13.383,10.4422,13.6515,10.9058,12.0799,13.4306,14.4505,12.2286,12.9937,10.4654,11.0762,11.6338,11.7478,12.2614,11.8192,12.8951,12.8755,11.9677,11.3765,12.2853,14.2107,12.6118,11.7585,12.0567,11.7359,12.3487,11.2598,12.7525,13.2506,11.4401,11.096,11.5933,11.2621,11.6921,11.5034,12.7997,12.1493,12.545,13.6821,11.8448,10.9623,12.2966,11.2793,12.1658,12.0648,12.2206,12.1902,13.8418,13.0553,15.2572,14.8264,11.3301,11.8941,10.5474,11.5551,12.9668,14.9256,11.934,11.8517,12.8134,12.5099,11.7567,12.8111,11.6802,14.2816,11.7857,11.7585,11.6947,13.6214,11.6319
TRHR,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,0.113644,1.20968,1.20968,0.113644
UBR5,11.598,10.6567,10.5745,10.5123,11.0589,10.0673,10.7634,10.4452,10.5783,10.8344,9.99084,10.2629,10.9318,11.3217,10.9189,10.9543,10.813,11.1714,10.8215,10.3064,10.5824,10.75,11.4394,10.7834,10.3565,11.3531,12.0282,11.4245,10.4272,10.8443,10.6652,11.2146,12.0323,11.2052,10.3178,10.6745,10.0629,11.2563,11.0002,10.9886,11.0652,10.9021,10.8168,10.3335,11.0519,10.8981,10.4554,10.7232,10.7803,9.58247,9.82698,10.7705,10.5486,11.5825,10.3142,10.5474,11.5566,10.6913,10.5364,10.7718,10.9106,11.9152,11.795,10.9708,11.3914,10.7148,12.0498,10.8708,11.2301,12.1889,11.6153,10.6378
ZNF568,7.05103,7.03639,6.53965,6.79623,6.79426,6.44391,6.53965,6.03426,6.63774,6.61965,5.95167,5.93491,6.31418,6.93041,6.85317,6.81484,5.38652,7.58896,7.0808,7.69953,7.31657,7.15063,8.08164,5.28658,6.3224,7.72768,6.35762,7.49691,6.17424,7.98583,7.57981,7.00978,8.21685,6.51705,5.15699,5.63312,7.10033,7.38198,6.88087,6.90917,7.28786,6.60849,6.59003,6.51095,6.64224,6.88087,8.19977,6.71195,7.96808,8.85446,8.96603,7.27051,6.51705,6.40441,8.18352,6.50485,7.13892,6.52893,6.30103,7.45868,7.71533,7.85429,7.71221,7.10985,7.12435,8.01158,9.08539,7.24697,7.57981,7.9143,7.66054,7.46426
